offence,model,n_train,n_test,rmse,mae,r2
assault,Regression tree,1327,149,155.85278365814534,113.13249609078795,0.9094353608176364
autotheft,Regression tree,1326,149,194.2345605965414,158.8597380253243,-0.6157067269675023
biketheft,Regression tree,1289,140,50.48860054597387,34.45455711501124,0.795765805556325
breakenter,Regression tree,1327,149,73.20939001827246,55.986671247980816,0.49535564611961047
robbery,Regression tree,1322,149,51.644814331014885,39.14387753444272,-0.20976812680667756
theftfrommv,Regression tree,1327,149,108.57102203094665,80.87718329812296,0.17291439785421225
theftover,Regression tree,1298,149,30.694394700952714,22.329713300975943,0.5136559667018259
